0,21,3
1,4,56
2,59,63
3,67,31
4,72,90
5,45,26
6,15,29
7,57,29
8,75,4
9,73,65
10,31,66
11,9,80
12,10,87
13,44,3
14,33,71
15,17,69
16,86,57
17,80,69
18,35,36
19,38,18
20,49,83
21,72,93
22,96,56
23,36,23
24,7,2
25,31,33
26,26,77
27,71,65
28,37,84
29,33,20
30,81,37
31,26,19
32,76,55
33,96,68
34,1,59
35,2,4
36,57,10
37,26,83
38,48,62
39,25,95
40,61,18
41,93,25
42,52,5
43,43,17
44,7,58
45,90,96
46,10,35
47,69,5
48,94,13
49,7,44
50,2,32
51,54,39
52,66,93
53,44,26
54,12,14
55,77,87
56,6,24
57,47,16
58,10,62
59,27,35
60,44,10
61,23,74
62,98,96
63,70,75
64,41,62
65,62,98
66,0,45
67,22,7
68,80,18
69,79,71
70,35,57
71,12,5
72,86,62
73,26,64
74,99,9
75,52,74
76,74,20
77,60,30
78,43,89
79,66,87
80,74,82
81,15,18
82,88,90
83,12,45
84,74,76
85,29,92
86,64,25
87,37,74
88,79,3
89,63,21
90,90,43
91,24,88
92,86,16
93,93,57
94,49,51
95,70,81
96,96,47
97,71,96
98,86,64
99,63,52
