0,21,3,67,1
67,22,7,71,1
71,12,5,24,1
24,7,2,35,1
35,2,4,54,1
54,12,14,81,1
81,15,18,56,1
56,6,24,50,1
50,2,32,46,1
46,10,35,6,1
6,15,29,59,1
59,27,35,25,1
25,31,33,18,1
18,35,36,23,1
23,36,23,29,1
29,33,20,19,1
19,38,18,43,1
43,43,17,57,1
57,47,16,60,1
60,44,10,13,1
13,44,3,42,1
42,52,5,36,1
36,57,10,40,1
40,61,18,89,1
89,63,21,86,1
86,64,25,77,1
77,60,30,7,1
7,57,29,3,1
3,67,31,76,1
76,74,20,68,1
68,80,18,92,1
92,86,16,48,1
48,94,13,74,1
74,99,9,41,1
41,93,25,30,1
30,81,37,90,1
90,90,43,96,1
96,96,47,22,1
22,96,56,93,1
93,93,57,16,1
16,86,57,72,1
72,86,62,98,1
98,86,64,17,1
17,80,69,69,1
69,79,71,84,1
84,74,76,63,1
63,70,75,95,1
95,70,81,80,1
80,74,82,55,1
55,77,87,4,1
4,72,90,21,1
21,72,93,97,1
97,71,96,52,1
52,66,93,79,1
79,66,87,65,1
65,62,98,20,1
20,49,83,78,1
78,43,89,28,1
28,37,84,87,1
87,37,74,14,1
14,33,71,10,1
10,31,66,73,1
73,26,64,15,1
15,17,69,61,1
61,23,74,26,1
26,26,77,37,1
37,26,83,91,1
91,24,88,85,1
85,29,92,39,1
39,25,95,12,1
12,10,87,11,1
11,9,80,58,1
58,10,62,44,1
44,7,58,1,1
1,4,56,34,1
34,1,59,66,1
66,0,45,49,1
49,7,44,83,1
83,12,45,70,1
70,35,57,64,1
64,41,62,38,1
38,48,62,2,1
2,59,63,99,1
99,63,52,32,1
32,76,55,9,1
9,73,65,27,1
27,71,65,75,1
75,52,74,94,1
94,49,51,51,1
51,54,39,5,1
5,45,26,53,1
53,44,26,31,1
31,26,19,47,1
47,69,5,8,1
8,75,4,88,1
88,79,3,33,1
33,96,68,82,1
82,88,90,45,1
45,90,96,62,1
62,98,96,0,1
