24,7,2,1
88,79,3,1
74,99,9,1
62,98,96,1
65,62,98,1
39,25,95,1
12,10,87,1
34,1,59,1
66,0,45,1
35,2,4,1
0,21,3,2
13,44,3,2
8,75,4,2
48,94,13,2
96,96,47,2
22,96,56,2
33,96,68,2
45,90,96,2
97,71,96,2
85,29,92,2
11,9,80,2
1,4,56,2
50,2,32,2
71,12,5,2
42,52,5,3
47,69,5,3
92,86,16,3
41,93,25,3
93,93,57,3
82,88,90,3
21,72,93,3
52,66,93,3
91,24,88,3
44,7,58,3
56,6,24,3
54,12,14,3
67,22,7,3
60,44,10,4
36,57,10,4
68,80,18,4
90,90,43,4
98,86,64,4
55,77,87,4
4,72,90,4
78,43,89,4
37,26,83,4
58,10,62,4
49,7,44,4
81,15,18,4
57,47,16,5
40,61,18,5
76,74,20,5
30,81,37,5
16,86,57,5
72,86,62,5
80,74,82,5
79,66,87,5
28,37,84,5
26,26,77,5
15,17,69,5
83,12,45,5
46,10,35,5
6,15,29,5
31,26,19,5
43,43,17,6
89,63,21,6
3,67,31,6
32,76,55,6
17,80,69,6
69,79,71,6
95,70,81,6
20,49,83,6
61,23,74,6
59,27,35,6
29,33,20,6
19,38,18,6
23,36,23,7
86,64,25,7
9,73,65,7
84,74,76,7
87,37,74,7
14,33,71,7
73,26,64,7
25,31,33,7
53,44,26,8
5,45,26,8
7,57,29,8
77,60,30,8
27,71,65,8
63,70,75,8
75,52,74,8
10,31,66,8
18,35,36,8
51,54,39,9
99,63,52,9
2,59,63,9
64,41,62,9
70,35,57,9
38,48,62,10
94,49,51,10
